City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kýria,0,GR,1635601062,60,41,24,62,5
Marsh Harbour,57,BS,1635601062,68,26,-77,80,21
Khedbrahma,5,IN,1635601063,28,24,73,74,5
Olafsvik,42,IS,1635601063,86,64,-23,42,15
Calvià,100,ES,1635601064,95,39,2,70,20
Almeirim,13,BR,1635601065,54,-1,-52,89,4
Adamovka,96,RU,1635601065,70,51,59,42,18
Palmer,90,US,1635600890,83,42,-72,54,3
Gombong,100,ID,1635601066,90,-7,109,76,2
Marsaxlokk,20,MT,1635600810,73,35,14,71,13
Naryan-Mar,97,RU,1635601067,87,67,53,15,6
Jalu,1,LY,1635601067,28,29,21,81,10
Lixouri,75,GR,1635601068,43,38,20,71,0
Onokhoy,14,RU,1635601068,55,51,108,22,3
Bilma,17,NE,1635601069,11,18,12,97,9
Santa Rosa,7,PH,1635601052,73,14,121,83,10
Safi,11,MA,1635601070,72,32,-9,68,8
Maracaibo,98,VE,1635601071,69,10,-71,83,1
Ibanda,100,TZ,1635601071,39,-2,32,80,7
Gotenba,77,JP,1635601072,85,35,138,51,2
Aquiraz,36,BR,1635600881,63,-3,-38,86,13
Baruun-Urt,100,MN,1635601072,34,46,113,26,5
Beloha,92,MG,1635601073,55,-25,45,73,19
Cairns,18,AU,1635601074,91,-16,145,75,0
San Fernando,46,PH,1635601074,79,15,120,82,3
Smithers,20,CA,1635601075,100,54,-127,21,3
Zaozyornoye,0,UA,1635601075,55,45,33,58,15
Ribeira Brava,89,PT,1635601076,73,32,-17,82,10
Asău,1,RO,1635601076,63,46,26,58,5
Ugoofaaru,98,MV,1635601077,71,5,73,81,8
Charter Township of Clinton,90,US,1635601077,93,42,-82,50,1
Grand Forks,90,US,1635601078,81,47,-97,44,4
Charters Towers,1,AU,1635601008,75,-20,146,73,4
Bahía Solano,99,CO,1635601079,84,6,-77,78,6
Kaspiysk,20,RU,1635601079,81,42,47,53,7
Porto-Novo,100,BJ,1635601080,61,6,2,87,7
Nantucket,45,US,1635600961,92,41,-70,59,25
Dhidhdhoo,100,MV,1635601081,79,6,73,81,6
Hünfeld,100,DE,1635600839,89,50,9,53,5
Hofn,100,IS,1635601082,87,64,-15,43,6
Tutóia,41,BR,1635601082,62,-2,-42,85,12
Tiznit Province,1,MA,1635601083,23,29,-9,81,11
Wanning,61,CN,1635601084,87,18,110,76,11
Huixtla,45,MX,1635601084,72,15,-92,76,0
Kirovskiy,95,RU,1635601085,86,45,133,43,3
Santo Domingo,40,DO,1635600800,80,18,-69,82,3
Camapuã,2,BR,1635601086,46,-19,-54,88,6
Quatre Cocos,51,MU,1635601086,73,-20,57,79,4
Boueni,21,YT,1635601087,67,-12,45,84,2
Buenos Aires,0,AR,1635600935,71,-34,-58,82,6
Lompoc,90,US,1635601088,96,34,-120,55,0
Port Hawkesbury,90,CA,1635601088,83,45,-61,50,3
Shenzhen,76,CN,1635601089,90,22,114,75,6
Anloga,75,GH,1635601089,72,5,0,89,12
Camaná,86,PE,1635601090,74,-16,-72,67,6
Mogadishu,20,SO,1635601090,84,2,45,84,10
Yar-Sale,100,RU,1635601091,89,66,70,10,18
Dāmghān,96,IR,1635601091,39,36,54,61,3
Lesnoy,100,RU,1635601092,94,57,63,30,10
Bay Roberts,0,CA,1635601093,73,47,-53,49,5
Aksu,8,CN,1635601093,42,41,80,50,7
Dno,15,RU,1635601094,80,57,29,51,7
Balakhninskiy,100,RU,1635601094,85,58,114,20,3
Shellbrook,2,CA,1635601095,57,53,-106,25,9
Port Hardy,1,CA,1635601095,93,50,-127,42,4
Kungurtug,32,RU,1635601096,65,50,97,29,2
Saint-Augustin,8,CA,1635601096,34,51,-58,47,3
Dalmau,0,IN,1635601097,47,26,81,73,6
